uniqueID,drugName,condition,review,rating,date,usefulCount,sentence-count,word-count
153638,Doxycycline,Rosacea,"""My face cleared up in about 10 days.""",10,23-Oct-10,27,1,8
181453,Prozac,Major Depressive Disorde,"""The best SSRI, beat depression, anxiety and Obsessive Compulsive Disorder.""",10,24-Oct-14,55,1,10
10760,Gemfibrozil,High Cholesterol,"""This gave me severe diarrhea.""",1,2-Oct-09,20,1,5
72043,Tramadol,Pain,"""This medication does not relieve eve the slightest pain.""",1,2-Jun-15,18,1,9
76071,Ezetimibe / simvastatin,High Cholesterol,"""Very effective.""",10,8-Nov-09,10,1,2
19465,Pregabalin,ibromyalgia,"""Caused me more pain but has helped others.""",4,9-Jul-14,48,1,8
135849,Percocet,Pain,"""Eases pain - don&#039;t take it away.""",7,11-Nov-09,11,1,7
17419,Ethinyl estradiol / etonogestrel,Birth Control,"""It&#039;s ok but I started to develop a yeast infection after two weeks""",5,11-Jul-17,1,1,13
189321,Oxycodone,Chronic Pain,"""It works overall very good for me""",8,9-Jan-14,42,1,7
93150,Vortioxetine,Depression,"""severe depression and anxiety""",1,16-Dec-15,10,1,4
230226,Meloxicam,Osteoarthritis,"""Really relieved stiffness and took edge off the pain.""",7,1-Mar-16,22,1,9
67222,Omeprazole,Barrett's Esophagus,"""Positive""",9,21-Feb-16,5,1,1
69871,Tylenol,eve,"""Works great as a fever reducer.""",10,9-May-08,29,1,6
167842,Eletriptan,Migraine,"""Have to take 2 pills before they work for my migraines.""",8,24-Feb-09,3,1,11
